movie_title,release_date,total_gross,inflation_adjusted_gross,release_year,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Other,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,mpaa_rating_G,mpaa_rating_Not Rated,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R
Snow White and the Seven Dwarfs,1937-12-21,184925485,5228953251,1937,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Pinocchio,1940-02-09,84300000,2188229052,1940,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fantasia,1940-11-13,83320000,2187090808,1940,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Song of the South,1946-11-12,65000000,1078510579,1946,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cinderella,1950-02-15,85000000,920608730,1950,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"20,000 Leagues Under the Sea",1954-12-23,28200000,528279994,1954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lady and the Tramp,1955-06-22,93600000,1236035515,1955,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Sleeping Beauty,1959-01-29,9464608,21505832,1959,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
101 Dalmatians,1961-01-25,153000000,1362870985,1961,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Absent Minded Professor,1961-03-16,25381407,310094574,1961,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Babes in Toyland,1961-12-14,10218316,124841160,1961,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bon Voyage!,1962-05-17,9230769,109581646,1962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Sword in the Stone,1963-12-25,22182353,153870834,1963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Jungle Book,1967-10-18,141843000,789612346,1967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Blackbeard's Ghost,1968-02-08,21540050,138612686,1968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Aristocats,1970-04-24,55675257,255161499,1970,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Boatniks,1970-07-01,18607492,101200742,1970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bedknobs and Broomsticks,1971-10-07,17871174,91305448,1971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Apple Dumpling Gang,1975-07-01,31916500,131246872,1975,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Freaky Friday,1977-01-21,25942000,98067733,1977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Rescuers,1977-06-22,48775599,159743914,1977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Herbie Goes to Monte Carlo,1977-06-24,28000000,105847527,1977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
The Black Hole,1979-12-21,35841901,120377374,1979,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Midnight Madness,1980-02-08,2900000,9088096,1980,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
The Last Flight of Noah’s Ark,1980-06-25,11000000,34472116,1980,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
The Devil and Max Devlin,1981-01-01,16000000,48517980,1981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
The Fox and the Hound,1981-07-10,43899231,133118889,1981,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Night Crossing,1982-02-05,4500000,12903059,1982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Tron,1982-07-09,26918576,77184895,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tex,1982-11-19,7199408,20643199,1982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Trenchcoat,1983-03-11,4304286,11519089,1983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Something Wicked This Way Comes,1983-04-29,5656087,15136765,1983,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Never Cry Wolf,1983-10-07,27668764,70669955,1983,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Running Brave,1983-11-04,1204595,3223725,1983,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Splash,1984-03-09,62599495,157057661,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Country,1984-09-29,8400000,21075000,1984,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Baby: Secret of the Lost Legend,1985-03-22,14276095,33900697,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Return to Oz,1985-06-21,10618813,25215934,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Black Cauldron,1985-07-24,21288692,50553142,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My Science Project,1985-08-09,4100000,9736051,1985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Journey of Natty Gann,1985-09-27,9468512,22302956,1985,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
One Magic Christmas,1985-11-22,13229514,31415432,1985,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Down and Out in Beverly Hills,1986-01-31,62134225,141183693,1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Off Beat,1986-04-11,4842778,11003932,1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ruthless People,1986-06-27,71624879,162748712,1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Great Mouse Detective,1986-07-02,23605534,53637367,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Flight of the Navigator,1986-07-30,18564613,42183197,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tough Guys,1986-10-03,21458229,48758184,1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Color of Money,1986-10-17,52293000,117957323,1986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Outrageous Fortune,1987-01-30,52864741,113976921,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tin Men,1987-03-06,25411386,54787202,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ernest Goes to Camp,1987-05-22,23509382,50686462,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Benji the Hunted,1987-06-05,15212539,32798382,1987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adventures in Babysitting,1987-07-03,33790923,72853569,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stakeout,1987-08-05,65673233,141592160,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Can't Buy Me Love,1987-08-14,31623833,68181300,1987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Hello Again,1987-11-06,20419446,44024529,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3 Men and a Baby,1987-11-25,167780960,353334607,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Good Morning Vietnam,1987-12-23,123922370,254414837,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shoot to Kill,1988-02-12,29300000,60097074,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D.O.A.,1988-03-18,12706478,26062188,1988,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Return to Snowy River,1988-04-15,13687027,28073384,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Big Business,1988-06-10,40150487,82352451,1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Who Framed Roger Rabbit?,1988-06-22,154112492,316250084,1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cocktail,1988-07-29,78222753,160442289,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Rescue,1988-08-05,5855392,12009960,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Heartbreak Hotel,1988-09-30,5509417,11300331,1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Good Mother,1988-11-04,4764606,9772655,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ernest Saves Christmas,1988-11-11,28202109,57845202,1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Oliver & Company,1988-11-18,49576671,102254492,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beaches,1988-12-21,57041866,120381757,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Three Fugitives,1989-01-27,40590000,85757817,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
New York Stories,1989-03-01,10763469,22740861,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Disorganized Crime,1989-04-14,7210149,15233465,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dead Poets Society,1989-06-02,95860116,202531517,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Honey, I Shrunk the Kids",1989-06-23,130724172,276191669,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Turner & Hooch,1989-07-28,71079915,150176361,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cheetah,1989-08-18,7882250,16653473,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
An Innocent Man,1989-10-06,19397847,40983414,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Gross Anatomy,1989-10-20,11346186,23972012,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
The Little Mermaid,1989-11-15,111543479,223726012,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blaze,1989-12-13,19049727,39884640,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Stella,1990-02-02,20062347,40077147,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Where the Heart Is,1990-02-23,1106475,2210321,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pretty Woman,1990-03-23,178406268,356389765,1990,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ernest Goes to Jail,1990-04-06,25029569,49999822,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Spaced Invaders,1990-04-27,15000000,29964452,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fire Birds,1990-05-24,14760451,29485923,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dick Tracy,1990-06-15,103738726,207231621,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Betsy's Wedding,1990-06-22,19740070,39433357,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arachnophobia,1990-07-18,53208180,106290270,1990,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
DuckTales: The Movie - Treasure of th…,1990-08-03,18075331,36107823,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Taking Care of Business,1990-08-17,20005435,39963460,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mr. Destiny,1990-10-12,15379253,30722056,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Rescuers Down Under,1990-11-16,27931461,55796728,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3 Men and a Little Lady,1990-11-21,71609321,143108869,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Green Card,1990-12-25,29804169,59679131,1990,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
White Fang,1991-01-18,34729091,69540672,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Scenes from a Mall,1991-02-22,9563393,19149495,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Haakon Haakonsen,1991-03-01,15024232,30084149,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Marrying Man,1991-04-05,12454768,24939118,1991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Oscar,1991-04-26,23562716,47181395,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
One Good Cop,1991-05-03,11276846,22580472,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
What About Bob?,1991-05-17,63710000,127571325,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wild Hearts Can't Be Broken,1991-05-24,7300000,14617333,1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
The Rocketeer,1991-06-21,46573027,93256673,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Doctor,1991-07-24,37497480,75084021,1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Paradise,1991-09-18,18634643,37313540,1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Deceived,1991-09-27,28738096,57544453,1991,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Ernest Scared Stupid,1991-10-11,14143280,28320147,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Billy Bathgate,1991-11-01,15565363,31167691,1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Beauty and the Beast,1991-11-13,218951625,363017667,1991,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Father of the Bride,1991-12-20,89325780,179821881,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hand That Rocks the Cradle,1992-01-10,88036683,178831137,1992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medicine Man,1992-02-07,44948240,91304495,1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Blame it on the Bellboy,1992-03-06,2891055,5872667,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Noises Off...,1992-03-20,2280148,4631720,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Straight Talk,1992-04-03,21202099,43068356,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Newsies,1992-04-08,2706352,5497481,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Passed Away,1992-04-24,4030793,8187848,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Encino Man,1992-05-22,40057130,81369058,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sister Act,1992-05-29,139605150,283583472,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Honey I Blew Up the Kid,1992-07-17,58662452,119162518,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Stranger Among Us,1992-07-17,12282994,24950752,1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3 Ninjas,1992-08-07,29028000,58965304,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Gun in Betty Lou's Handbag,1992-08-21,3591460,7295423,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Captain Ron,1992-09-18,22518097,45741576,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sarafina!,1992-09-18,7306242,14841352,1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Innocent Blood,1992-09-25,4877567,9907922,1992,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
The Mighty Ducks,1992-10-02,50752337,103120810,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1492: Conquest of Paradise,1992-10-09,7099531,14421454,1992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Consenting Adults,1992-10-16,21591728,43859823,1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Aladdin,1992-11-11,217350219,441969178,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Distinguished Gentleman,1992-12-04,46434570,94349900,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Muppet Christmas Carol,1992-12-11,27281507,55417615,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alive,1993-01-15,36299670,73914543,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aspen Extreme,1993-01-22,7843388,15970955,1993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Homeward Bound: The Incredible Journey,1993-02-03,41833324,85182343,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Cemetery Club,1993-02-03,5583621,11369541,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Swing Kids,1993-03-05,5632086,11468231,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A Far Off Place,1993-03-12,12890752,26248558,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Born Yesterday,1993-03-26,17760754,36165012,1993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Adventures of Huck Finn,1993-04-02,24103594,49080505,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bound by Honor,1993-04-16,4496583,9156084,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Indian Summer,1993-04-23,14717851,29968953,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Super Mario Bros.,1993-05-28,20844907,42445058,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Guilty as Sin,1993-06-04,22622537,46064723,1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Life With Mikey,1993-06-04,12349549,25146538,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
What's Love Got to Do With It,1993-06-09,39100956,79618610,1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Son in Law,1993-07-02,25989889,52921433,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hocus Pocus,1993-07-16,39360491,80147079,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Another Stakeout,1993-07-23,20107504,40943541,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
My Boyfriend's Back,1993-08-06,3218882,6554384,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Father Hood,1993-08-27,3268203,6654819,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
The Joy Luck Club,1993-09-08,32790064,66768171,1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Money for Nothing,1993-09-10,1044824,2127496,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Program,1993-09-24,23042200,46919256,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cool Runnings,1993-10-01,68856263,140392731,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Nightmare Before Christmas,1993-10-13,50408318,100026637,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The Three Musketeers,1993-11-12,53661805,109310377,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sister Act 2 Back in the Habit,1993-12-10,57319029,116965668,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tombstone,1993-12-25,56505065,115781734,1993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The Air Up There,1994-01-07,20782439,42940186,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cabin Boy,1994-01-07,3469493,7168577,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Iron Will,1994-01-14,20623071,42610902,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Red Rock West,1994-01-28,2502551,5170709,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Blank Check,1994-02-11,30573770,63170804,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Angie,1994-03-04,9252349,19116981,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Ref,1994-03-09,11325885,23401275,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D2: The Mighty Ducks,1994-03-25,45604206,94226333,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Holy Matrimony,1994-04-08,713234,1473665,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
White Fang 2: Myth of the White Wolf,1994-04-15,8752399,18083994,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Inkwell,1994-04-22,8864699,18316030,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
When a Man Loves a Woman,1994-04-29,50021959,103354194,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3 Ninjas Kick Back,1994-05-06,11744960,24267154,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Renaissance Man,1994-06-03,24172899,49945474,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Lion King,1994-06-15,422780140,761640898,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I Love Trouble,1994-06-29,30806194,63651027,1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Angels in the Outfield,1994-07-15,50236831,103798152,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
In the Army Now,1994-08-12,28881266,59673787,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color of Night,1994-08-19,19750470,40804816,1994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Camp Nowhere,1994-08-26,10442641,21576332,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
It's Pat,1994-08-26,60822,125666,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Simple Twist of Fate,1994-09-02,3404935,7035189,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Quiz Show,1994-09-14,24787282,50840394,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Terminal Velocity,1994-09-23,16478900,34048315,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ed Wood,1994-09-30,5828466,12042634,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Puppet Masters,1994-10-21,8579626,17727017,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
